region;year;roll_T
south;1990;10,95708649
south;1991;10,92391225
south;1992;10,95083081
south;1993;10,87100821
south;1994;10,86830082
south;1995;10,91016225
south;1996;10,90424653
south;1997;10,8962541
south;1998;10,92249653
south;1999;10,94912405
south;2000;10,96004388
south;2001;11,01065878
south;2002;11,00021307
south;2003;11,0253065
south;2004;11,03605366
south;2005;11,05749337
south;2006;11,17078977
south;2007;11,22920044
south;2008;11,25070612
south;2009;11,25873737
south;2010;11,30177462
south;2011;11,36249116
south;2012;11,39727936
south;2013;11,43619444
south;2014;11,45127999
south;2015;11,46091446
south;2016;11,498631
south;2017;11,51546212
south;2018;11,55801389
south;2019;11,54857828
north;1990;8,589120551
north;1991;8,531034035
north;1992;8,53769334
north;1993;8,449592535
north;1994;8,436237118
north;1995;8,465668139
north;1996;8,475908894
north;1997;8,471278254
north;1998;8,535317831
north;1999;8,561186455
north;2000;8,57717589
north;2001;8,632456482
north;2002;8,624053434
north;2003;8,669702953
north;2004;8,663958171
north;2005;8,718866805
north;2006;8,805216073
north;2007;8,87586516
north;2008;8,882514939
north;2009;8,897261193
north;2010;8,925273231
north;2011;8,998382264
north;2012;9,032617563
north;2013;9,086221096
north;2014;9,102077596
north;2015;9,117034295
north;2016;9,1696852
north;2017;9,162767818
north;2018;9,196708669
north;2019;9,175230796
