;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15
1;0,18263;0,02105;0,02445;0,20993;0,0152;0,91033;0,08972;0,07115;1,04415;0,04321;0,83833;0,08106;0,03624;0,82291;0,01068
2;0,18101;0,02087;0,02436;0,20853;0,01554;0,90826;0,08956;0,07106;1,0434;0,04427;0,84384;0,08163;0,03666;0,83069;0,011
3;0,17926;0,02065;0,0242;0,20711;0,01588;0,90538;0,0893;0,07088;1,04179;0,04533;0,84831;0,08213;0,03705;0,83788;0,01133
4;0,1753;0,02014;0,02377;0,20422;0,01621;0,89988;0,08881;0,07042;1,03753;0,04638;0,85185;0,08254;0,0374;0,84429;0,01166
5;0,17006;0,01942;0,02304;0,19993;0,01653;0,88596;0,08766;0,06948;1,02752;0,04742;0,85165;0,08274;0,03772;0,84889;0,01199
6;0,1687;0,01951;0,02296;0,19788;0,01685;0,88842;0,08748;0,06936;1,02629;0,04846;0,85735;0,08309;0,03803;0,8556;0,01232
7;0,16617;0,01919;0,02271;0,19526;0,01716;0,8869;0,08738;0,06906;1,02329;0,04949;0,86176;0,08349;0,03833;0,86165;0,01265
8;0,16324;0,01881;0,02235;0,19226;0,01747;0,88146;0,08695;0,06859;1,01814;0,05052;0,86458;0,08383;0,03861;0,86691;0,01298
9;0,15636;0,01772;0,02125;0,18634;0,01777;0,85635;0,08502;0,06704;1,00046;0,05154;0,86876;0,08422;0,03891;0,87269;0,01331
10;0,15095;0,01714;0,02038;0,18074;0,01806;0,83563;0,08292;0,06559;0,98301;0,05253;0,87281;0,08461;0,03921;0,87831;0,01365
11;0,14654;0,01667;0,01969;0,1756;0,01834;0,81815;0,08111;0,06425;0,96616;0,0535;0,87674;0,085;0,0395;0,88377;0,01399
12;0,14284;0,01629;0,01914;0,17096;0,01861;0,80312;0,07955;0,06303;0,95012;0,05445;0,88055;0,08538;0,03978;0,88908;0,01433
13;0,13969;0,01596;0,0187;0,1668;0,01887;0,78999;0,0782;0,06192;0,93501;0,05538;0,88424;0,08575;0,04005;0,89424;0,01467
14;0,13696;0,01568;0,01835;0,1631;0,01913;0,77838;0,07701;0,06091;0,92087;0,0563;0,88782;0,08611;0,04031;0,89925;0,01501
15;0,13459;0,01543;0,01806;0,15982;0,01938;0,76802;0,07595;0,06;0,90771;0,0572;0,89129;0,08646;0,04057;0,90412;0,01535
16;0,13251;0,01522;0,01783;0,15692;0,01963;0,75869;0,075;0,05918;0,8955;0,05809;0,89466;0,0868;0,04082;0,90885;0,0157
17;0,13069;0,01504;0,01764;0,15435;0,01987;0,75025;0,07414;0,05844;0,8842;0,05897;0,89793;0,08713;0,04106;0,91345;0,01605
18;0,12909;0,01487;0,01748;0,15209;0,02011;0,74258;0,07336;0,05777;0,87376;0,05984;0,90111;0,08745;0,0413;0,91792;0,0164
19;0,12768;0,01473;0,01734;0,15009;0,02035;0,73559;0,07265;0,05717;0,86413;0,0607;0,90419;0,08777;0,04153;0,92226;0,01675
20;0,12644;0,0146;0,01722;0,14833;0,02059;0,7292;0,072;0,05663;0,85525;0,06155;0,90718;0,08807;0,04175;0,92648;0,0171
21;0,12534;0,01449;0,01712;0,14677;0,02082;0,72335;0,07141;0,05614;0,84707;0,0624;0,91008;0,08836;0,04197;0,93057;0,01745
22;0,12437;0,01439;0,01704;0,1454;0,02105;0,71799;0,07086;0,05569;0,83954;0,06324;0,9129;0,08865;0,04218;0,93455;0,0178
23;0,12352;0,01431;0,01697;0,14419;0,02128;0,71308;0,07037;0,05528;0,83261;0,06407;0,91564;0,08892;0,04238;0,93841;0,01815
24;0,12277;0,01423;0,01691;0,14312;0,02151;0,70857;0,06991;0,05491;0,82624;0,0649;0,9183;0,08919;0,04258;0,94216;0,01851
25;0,12211;0,01417;0,01685;0,14218;0,02174;0,70443;0,06949;0,05457;0,82038;0,06572;0,92088;0,08945;0,04277;0,94581;0,01887
26;0,12153;0,01411;0,0168;0,14135;0,02197;0,70062;0,06911;0,05426;0,81499;0,06653;0,92338;0,0897;0,04296;0,94935;0,01923
27;0,12101;0,01405;0,01676;0,14062;0,02219;0,69712;0,06875;0,05398;0,81003;0,06734;0,92581;0,08995;0,04314;0,95279;0,01959
28;0,12056;0,01401;0,01672;0,13998;0,02241;0,69391;0,06843;0,05373;0,80547;0,06815;0,92817;0,09019;0,04332;0,95613;0,01995
29;0,12016;0,01397;0,01669;0,13941;0,02263;0,69096;0,06813;0,0535;0,80128;0,06895;0,93046;0,09042;0,04349;0,95938;0,02031
30;0,11981;0,01393;0,01666;0,13891;0,02285;0,68824;0,06786;0,05329;0,79743;0,06975;0,93268;0,09064;0,04366;0,96253;0,02067
31;0,1195;0,0139;0,01664;0,13847;0,02307;0,68575;0,0676;0,05309;0,79388;0,07054;0,93484;0,09086;0,04382;0,96559;0,02103
32;0,11922;0,01387;0,01662;0,13808;0,02329;0,68345;0,06737;0,05291;0,79062;0,07133;0,93694;0,09107;0,04398;0,96857;0,02139
33;0,11898;0,01385;0,0166;0,13774;0,02351;0,68134;0,06716;0,05275;0,78762;0,07212;0,93898;0,09128;0,04413;0,97146;0,02175
34;0,11877;0,01383;0,01658;0,13744;0,02373;0,6794;0,06696;0,0526;0,78487;0,07291;0,94096;0,09148;0,04428;0,97427;0,02211
35;0,11858;0,01381;0,01657;0,13717;0,02395;0,67762;0,06678;0,05246;0,78234;0,07369;0,94288;0,09167;0,04443;0,977;0,02248
36;0,11841;0,01379;0,01656;0,13693;0,02417;0,67598;0,06662;0,05233;0,78001;0,07447;0,94475;0,09186;0,04457;0,97965;0,02285
37;0,11826;0,01378;0,01655;0,13672;0,02439;0,67447;0,06647;0,05221;0,77787;0,07525;0,94656;0,09204;0,04471;0,98222;0,02322
38;0,11813;0,01376;0,01654;0,13654;0,02461;0,67309;0,06633;0,05211;0,7759;0,07603;0,94832;0,09222;0,04484;0,98472;0,02359
