"","x"
"1",0.00312000000000001
"2",-0.00525749999999992
"3",-0.00174800000000008
"4",-0.00323799999999999
"5",-0.00595600000000012
"6",-0.014532
"7",-0.0168940000000001
"8",-0.0266579999999999
"9",-0.0334520000000001
"10",-0.0374459999999999
"11",-0.0325100000000001
"12",-0.028318
"13",-0.024722
"14",-0.0215019999999999
"15",-0.01892
"16",-0.0167179999999998
"17",-0.0147600000000001
"18",-0.013172
"19",-0.012006
"20",-0.01065
"21",-0.00967000000000002
"22",-0.00913399999999989
"23",-0.00886399999999998
"24",-0.00863599999999991
"25",-0.00838199999999993
"26",-0.00800800000000006
"27",-0.00726400000000007
"28",-0.00643200000000004
"29",-0.00585000000000004
"30",-0.00578599999999998
"31",-0.00610999999999997
"32",-0.00646800000000001
"33",-0.00678199999999984
"34",-0.00701
"35",-0.007104
"36",-0.00685000000000002
"37",-0.00685333333333323
